"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"7206/426.2120mz/10.11min",2.6555,2.1781,2.0486,2.011,1.9925,2.0263,1.9922,1.9776
"11519/448.2901mz/14.90min",2.6512,2.2631,2.2056,2.1629,2.1431,2.1095,2.0708,2.0474
"15378/676.4658mz/23.78min",2.646,2.1215,2.0393,2,1.965,1.9317,1.8971,1.8737
"4574/126.0550mz/4.20min",2.6368,2.1305,2.0057,1.9694,1.9358,1.9066,1.8819,1.8592
"8472/454.1704mz/11.51min",2.6367,2.193,2.0654,2.0293,1.9973,1.9643,1.9532,1.9272
"8444/281.1594mz/11.41min",2.6324,2.1153,1.9886,1.95,1.9206,1.913,1.8782,1.8577
"12105/434.1441mz/15.74min",2.6299,2.1724,2.0435,2.0039,1.9747,1.9755,1.9398,1.9152
"10263/650.2809mz/13.35min",2.6274,2.1066,1.9804,1.9535,1.9224,1.9159,1.891,1.8665
"4286/140.1070mz/3.51min",2.6273,2.2041,2.0822,2.0418,2.0235,1.9898,1.9536,1.9305
"10869/524.8270mz/13.94min",2.6265,2.1103,1.9863,1.9494,1.9171,1.8894,1.861,1.8475
"5197/216.0865mz/5.89min",2.6261,2.2269,2.0975,2.0584,2.0277,1.9954,1.9722,1.954
"10493/461.0924mz/13.56min",2.6244,2.1567,2.0382,1.9992,1.9752,2.002,1.97,1.9438
"6029/352.1596mz/8.50min",2.6244,2.1141,1.9891,1.9741,1.9397,1.917,1.9106,1.8857
"6389/357.1441mz/9.14min",2.6228,2.2071,2.0762,2.0385,2.023,2.0734,2.0377,2.011
"5068/216.0869mz/5.53min",2.6175,2.2319,2.1048,2.0641,2.0422,2.0166,1.9935,1.9705
"7279/426.2112mz/10.13min",2.6167,2.1487,2.0332,1.9939,1.9742,2.0137,1.993,1.9768
"13452/184.0752mz/17.79min",2.6155,2.1458,2.021,1.9818,1.9489,1.9667,1.9323,1.9137
"6422/110.0601mz/9.19min",2.6139,2.1273,2.0047,1.9841,1.9549,1.9218,1.8906,1.8746
"10444/497.1120mz/13.55min",2.607,2.1431,2.0207,1.9816,1.9594,1.9788,1.9438,1.9181
"8827/318.1546mz/11.90min",2.6065,2.1445,2.0211,1.9823,1.9642,1.9482,1.9127,1.8873
"8182/458.1651mz/11.18min",2.6051,2.1044,1.9968,1.9726,1.9453,1.9178,1.8913,1.8666
"7398/294.8612mz/10.27min",2.6019,2.0869,1.9904,1.9554,1.9214,1.8918,1.8836,1.8674
"4343/140.1070mz/3.64min",2.6003,2.1269,2.0144,1.9756,1.9548,1.9217,1.887,1.8636
"6746/227.1752mz/9.62min",2.5942,2.1043,1.9782,1.9479,1.9138,1.8819,1.8545,1.8304
"4465/126.0549mz/3.97min",2.5902,2.0932,1.9793,1.9504,1.9204,1.8925,1.8578,1.8334
"10487/333.0966mz/13.57min",2.5901,2.1085,1.9978,1.9599,1.9331,1.9154,1.8805,1.8587
"6621/154.0861mz/9.46min",2.5894,2.1589,2.0341,1.9949,1.9609,1.9319,1.9119,1.8884
"4525/126.0550mz/4.11min",2.5819,2.0941,1.9849,1.9627,1.9364,1.9119,1.8768,1.8533
"10067/349.1494mz/13.10min",2.5783,2.0769,1.9537,1.9165,1.8925,1.862,1.8278,1.804
"12782/401.1584mz/16.68min",2.5775,2.0703,1.9819,1.9471,1.9139,1.8817,1.8662,1.8428
"8844/247.0976mz/11.90min",2.5694,2.1241,2.0135,1.9838,1.9543,1.978,1.953,1.9272
"10655/489.3142mz/13.72min",2.568,2.0586,1.9354,1.8989,1.8784,1.8481,1.83,1.8056
"11164/604.3662mz/14.33min",2.567,2.1344,2.0236,1.9848,1.9518,1.9247,1.8901,1.865
"10071/367.1598mz/13.10min",2.5651,2.0591,1.9363,1.8995,1.8745,1.843,1.8092,1.7855
"14543/432.2377mz/21.00min",2.5586,2.0766,1.9628,1.9258,1.8955,1.8639,1.8395,1.8174
"9167/470.1654mz/12.17min",2.555,2.0812,2.0096,1.9771,1.9448,1.9224,1.9085,1.8893
"10787/502.8140mz/13.84min",2.5507,2.0661,1.9441,1.9064,1.8753,1.8496,1.8159,1.7937
"7544/220.1330mz/10.44min",2.5474,2.093,1.9827,1.9443,1.9311,1.9064,1.8751,1.8549
"11505/487.3004mz/14.87min",2.5406,2.0474,1.9247,1.8962,1.8632,1.8316,1.8165,1.7939
"14546/415.2110mz/21.00min",2.5406,2.0437,1.9218,1.8855,1.854,1.8282,1.7973,1.7735
"10497/205.0858mz/13.57min",2.5389,2.0852,1.9759,1.9411,1.9222,1.9026,1.8677,1.8434
"9319/426.1755mz/12.33min",2.5335,2.03,1.9284,1.9223,1.8971,1.8673,1.8349,1.8234
"14550/453.1673mz/21.01min",2.5291,2.1106,1.9969,1.9793,1.9463,1.9233,1.8906,1.8656
"4423/140.1069mz/3.80min",2.527,2.0968,1.9882,1.9498,1.92,1.9268,1.8958,1.8706
"12119/184.0754mz/15.77min",2.5235,2.1335,2.0082,1.971,1.9501,2.0759,2.0433,2.0187
"4648/126.0550mz/4.39min",2.5215,2.0333,1.9133,1.8783,1.8539,1.8225,1.7963,1.7725
"10871/516.3143mz/13.94min",2.5211,2.0409,1.921,1.8838,1.851,1.8196,1.7864,1.7628
"14612/278.2476mz/21.54min",2.5101,2.0139,1.8958,1.8591,1.8344,1.8033,1.7717,1.7504
"10468/479.1026mz/13.54min",2.5038,2.0266,1.9421,1.9045,1.8786,1.9138,1.8835,1.8616
"7259/156.1019mz/10.12min",2.502,2.048,1.9289,1.8929,1.8614,1.8549,1.824,1.8025
"8833/95.0493mz/11.89min",2.4981,2.0219,1.9014,1.8687,1.8442,1.8264,1.794,1.7711
"10474/351.1073mz/13.57min",2.4972,2.0593,1.9452,1.911,1.8947,1.8728,1.8387,1.8166
"8252/430.2281mz/11.25min",2.4964,2.0352,1.9451,1.9075,1.879,1.851,1.8172,1.7939
"6478/135.1015mz/9.27min",2.4941,2.0206,1.8995,1.8644,1.832,1.8015,1.7718,1.7483
"10077/428.2123mz/13.11min",2.4924,2.0276,1.9168,1.8797,1.8474,1.8167,1.7891,1.7656
"6174/216.0868mz/8.75min",2.4893,2.032,1.9171,1.8801,1.8655,1.8433,1.8146,1.7912
"15368/698.4787mz/23.75min",2.4854,1.995,1.9099,1.8791,1.856,1.8284,1.8014,1.7807
"5707/130.1590mz/7.82min",2.4826,1.9949,1.9774,1.9443,1.9128,1.8813,1.8646,1.8398
"10488/247.0964mz/13.57min",2.4818,2.0171,1.9077,1.8708,1.8595,1.8447,1.8134,1.7903
"5570/130.1591mz/7.17min",2.4806,2.0037,1.9074,1.8763,1.8443,1.8152,1.7822,1.7599
"10768/511.3275mz/13.83min",2.4789,1.9866,1.8687,1.8354,1.8046,1.777,1.7532,1.7565
"10457/369.1178mz/13.57min",2.4748,2.0133,1.8948,1.8587,1.828,1.8199,1.7877,1.7662
"3000/184.0969mz/1.99min",2.4735,2.0281,1.9144,1.892,1.863,1.8493,1.8155,1.7953
"11120/582.3525mz/14.24min",2.4701,2.0323,1.9173,1.8803,1.8474,1.8161,1.7828,1.7647
"15450/632.4398mz/23.92min",2.4683,1.9841,1.8908,1.8549,1.8224,1.7917,1.7595,1.7368
"15336/720.9934mz/23.66min",2.4654,1.9767,1.8976,1.8628,1.8372,1.8082,1.7833,1.7596
"10068/331.1384mz/13.10min",2.4585,1.987,1.8728,1.8369,1.8049,1.7747,1.7487,1.7254
"13143/211.0866mz/17.09min",2.4552,2.0284,1.9072,1.8704,1.852,1.9494,1.9137,1.889
"6167/360.2012mz/8.75min",2.4534,1.9939,1.8747,1.8416,1.8204,1.8176,1.7853,1.7616
"10060/384.1861mz/13.11min",2.4474,1.9978,1.8822,1.8464,1.8151,1.7863,1.7555,1.7321
"8826/301.1276mz/11.90min",2.4465,1.9942,1.8755,1.8438,1.8247,1.8075,1.7751,1.7522
"11828/200.1644mz/15.39min",2.4452,1.9789,1.861,1.8252,1.8057,1.7785,1.7466,1.7463
"4591/144.0655mz/4.24min",2.4397,1.9695,1.853,1.8276,1.7991,1.8804,1.8464,1.822
"4571/144.0655mz/4.21min",2.4301,1.9504,1.8625,1.8308,1.8029,1.8448,1.8217,1.8017
"4707/126.0550mz/4.57min",2.4261,1.9605,1.843,1.808,1.7771,1.7501,1.7273,1.705
"3685/230.1024mz/2.28min",2.4233,1.9979,1.8806,1.8538,1.8291,1.8838,1.8519,1.8472
"10508/467.3013mz/13.58min",2.4162,1.9455,1.8289,1.794,1.7927,1.769,1.7548,1.7318
"11358/448.2899mz/14.65min",2.3988,2.036,1.9806,1.9433,1.9181,1.9155,1.8839,1.8595
"11186/348.1440mz/14.36min",2.3975,2.02,1.899,1.8645,1.8411,1.9229,1.9102,1.8972
"10965/538.3269mz/14.04min",2.3957,1.965,1.8502,1.8144,1.7844,1.7583,1.7264,1.7034
"11024/560.3404mz/14.12min",2.3933,2.0869,1.9793,1.9458,1.9123,1.8851,1.8586,1.8342
"6704/586.9616mz/9.62min",2.3923,1.991,1.8759,1.8397,1.8086,1.7979,1.7651,1.7419
